LSOA code,Rank,Country
W01001202,120,Wales
W01001203,52,Wales
W01001204,1015,Wales
W01001205,468,Wales
W01001206,474,Wales
W01001207,136,Wales
W01001208,359,Wales
W01001209,6,Wales
W01001210,275,Wales
W01001211,429,Wales
W01001212,356,Wales
W01001213,579,Wales
W01001214,1451,Wales
W01001215,141,Wales
W01001216,493,Wales
W01001217,262,Wales
W01001218,698,Wales
W01001219,110,Wales
W01001220,730,Wales
W01001221,101,Wales
W01001222,15,Wales
W01001223,1755,Wales
W01001224,1904,Wales
W01001225,1884,Wales
W01001226,1171,Wales
W01001227,1485,Wales
W01001228,994,Wales
W01001229,752,Wales
W01001230,1280,Wales
W01001231,415,Wales
W01001232,539,Wales
W01001233,707,Wales
W01001234,709,Wales
W01001235,480,Wales
W01001236,1297,Wales
W01001237,209,Wales
W01001238,26,Wales
W01001239,145,Wales
W01001240,1308,Wales
W01001241,1129,Wales
W01001242,1497,Wales
W01001243,438,Wales
W01001244,1518,Wales
W01001245,1651,Wales
W01001246,1193,Wales
